Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-06-09,TNU,5533,YIA,CGK,,,3,,false,,2024-06-09T10:10,,,,,,2024-06-09T11:15,,Airbus A320,,,,,,,,2c76497b-1c8b-40ec-b2b5-f137d0164b27,0be7d3ea-309a-49fb-9be0-2218fbb3f4fe,f150bf22-8fe3-4b4f-8dd5-eb8f632dca66,54e67e4a-41d4-438f-b7c9-a0054d50081c,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-06-13,SJV,736,CGK,DPS,,,D,,false,,2024-06-13T13:45,2024-06-13T15:26,,,,,2024-06-13T16:40,2024-06-13T18:18,Airbus A320,,,,,,,,308a6bd4-2a23-4465-9ea2-bfe00f1e7027,c7f8a700-b073-4919-a206-b8e29f8719b3,54e67e4a-41d4-438f-b7c9-a0054d50081c,1894a933-e86f-4202-8ba9-fd44f73ae562,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-06-17,GIA,409,DPS,CGK,D,,3,,false,,2024-06-17T13:55,,,,,,2024-06-17T14:55,2024-06-17T14:50,Boeing 777-300 ER,,,,,,,,5b14f652-11a0-4269-a201-90c47d9e2f1b,1599e6c1-cc21-4462-a472-8f0ac751b853,1894a933-e86f-4202-8ba9-fd44f73ae562,54e67e4a-41d4-438f-b7c9-a0054d50081c,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-06-20,CSN,3038,CGK,CAN,3,2,2,,false,,2024-06-20T13:15,2024-06-20T14:09,,,,,2024-06-20T19:30,,Airbus A321neo,,,,,,,,0faeb36c-8cf8-4d42-9d03-4e64ce3d1920,255d4d33-d2aa-4a84-bc7d-0613c507151f,54e67e4a-41d4-438f-b7c9-a0054d50081c,7436d9ad-c589-49cb-9578-7762e8598fdc,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-06-20,CSN,6043,CAN,CSX,2,,2,,false,,2024-06-20T21:05,,,,,,2024-06-20T22:30,,Boeing 787-9,,,,,,,,9ce4ea6e-9a26-4ea4-9605-d91ccd6695b2,255d4d33-d2aa-4a84-bc7d-0613c507151f,7436d9ad-c589-49cb-9578-7762e8598fdc,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-06-29,CXA,8249,JJN,CSX,,12,2,,false,,2024-06-29T13:10,2024-06-29T13:15,,,,,2024-06-29T14:50,2024-06-29T14:46,Boeing 737 MAX 8,,,,,,,,9e3b2861-f38f-4702-b4dc-ebec015789ca,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-07-02,KNA,3126,CSX,JHG,1,12,,,false,,2024-07-02T17:10,,,,,,2024-07-02T19:45,,Boeing 737-700,,,,,,,,0d9dd0c0-bce4-4ccd-a80d-60b406e14556,05275795-4684-4ea6-bd9f-3f0990a94745,86baea5b-ada7-4048-b0f9-e647cf3e2e15,6a1d354b-8052-4a23-831f-0b8c350da7fe,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2024-07-08,KNA,3125,JHG,CSX,,,1,,false,,2024-07-08T08:30,,,,,,2024-07-08T11:05,,Boeing 737-700,,,,,,,,130ae069-ae76-4758-b770-241d7d047211,05275795-4684-4ea6-bd9f-3f0990a94745,6a1d354b-8052-4a23-831f-0b8c350da7fe,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2024-07-25,CUA,877,PKX,VVO,,E94,,,false,,2024-07-25T13:40,,,,,,2024-07-25T18:20,,Boeing 737-800,,,,,,,,be23278d-9f8e-4f51-8c88-2a0cced57a6f,f17d3e52-bbe0-4c76-ad27-03ddd10be3ec,76da187a-7889-4514-8d64-0e569b6cb0d1,57645419-40c3-497d-8b68-a82f5fbf57a9,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-08-06,CUA,878,VVO,PKX,,2,,,false,,2024-08-06T19:30,,,,,,2024-08-06T20:15,,Boeing 737-800,,,,,,,,42a13f4c-6e59-4e18-88aa-9e30292a77f8,f17d3e52-bbe0-4c76-ad27-03ddd10be3ec,57645419-40c3-497d-8b68-a82f5fbf57a9,76da187a-7889-4514-8d64-0e569b6cb0d1,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-08-14,CCA,1589,PEK,SHA,3,,2,,false,,2024-08-14T20:30,,,,,,2024-08-14T22:40,,Boeing 777-300 ER,,,,,,,,fb10bdad-2c21-4d31-a32b-e04003dd422e,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,5382e2ef-9ea4-4c98-9586-ab44a30cdb43,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-08-17,CES,5117,SHA,PEK,2,50,2,,false,,2024-08-17T16:00,2024-08-17T15:42,,,,,2024-08-17T18:15,2024-08-17T18:04,Boeing 777-300 ER,,,,,,,,5abe82c0-0ee1-45c7-b3be-12697eada0b3,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,5382e2ef-9ea4-4c98-9586-ab44a30cdb43,fa495023-95f7-46c7-abf5-69a5f2120d69,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-08-23,CCA,1391,PEK,WGN,3,,,,false,,2024-08-23T11:00,,,,,,2024-08-23T13:55,,Boeing 737-800,,,2C,AISLE,BUSINESS,,,e066e8f1-a265-477b-aed5-ec9e290d204c,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,ff9ef37c-46a9-4b3c-8149-f48de384a02f,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-08-29,CSC,8766,CSX,CTU,1,8,2,,false,,2024-08-29T10:55,,,,,,2024-08-29T12:50,,Airbus A319,,,,,,,,1498aecb-07cb-4a24-8857-e36b0bc7ea0f,fab62880-f263-4586-866e-31876e29d6e3,86baea5b-ada7-4048-b0f9-e647cf3e2e15,b0c5320c-15c1-4f40-b789-0cfe491aeb91,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2024-09-02,CSC,6575,TFU,AAT,2,125,,,false,,2024-09-02T08:25,,,,,,2024-09-02T12:45,,Airbus A320neo,,,,,,,,414c7122-7dc4-480e-86bb-6be45603e4a7,fab62880-f263-4586-866e-31876e29d6e3,40ec87e9-232a-46b1-b6fb-a8e4500b4e3d,6a8a2b6f-3eaa-43d9-a037-b724acc0b9f7,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-09-12,CSN,8996,AAT,PKX,,1,,,false,,2024-09-12T12:30,,,,,,2024-09-12T16:35,,Airbus A321neo,,,59A,WINDOW,ECONOMY,,,a0692d22-1659-4727-8eee-e2e9313310a9,255d4d33-d2aa-4a84-bc7d-0613c507151f,6a8a2b6f-3eaa-43d9-a037-b724acc0b9f7,76da187a-7889-4514-8d64-0e569b6cb0d1,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
